Object Unique ID,Begin date,Date:creation,End date,Title,he_counts,she_counts,word_counts
http://library.ucsd.edu/ark:/20775/bb85335894,2002-12-02,"December 2, 2002",2002-12-02,UCSD Guardian,32,3,21900
http://library.ucsd.edu/ark:/20775/bb69977404,2006-04-06,"April 6, 2006",2006-04-06,UCSD Guardian,32,14,15088
http://library.ucsd.edu/ark:/20775/bb75779537,1973-04-06,"April 6, 1973",1973-04-06,Triton Times,33,1,17609
http://library.ucsd.edu/ark:/20775/bb2902302q,2012-02-09,"February 9, 2012",2012-02-09,UCSD Guardian,5,10,11800
http://library.ucsd.edu/ark:/20775/bb47792923,2005-05-26,"May 26, 2005",2005-05-26,UCSD Guardian,34,9,17870
http://library.ucsd.edu/ark:/20775/bb6963610f,1998-05-14,"May 14, 1998",1998-05-14,UCSD Guardian,67,15,25104
http://library.ucsd.edu/ark:/20775/bb5154720b,1978-04-10,"April 10, 1978",1978-04-10,Triton Times,25,7,13486
http://library.ucsd.edu/ark:/20775/bb44038646,2006-05-15,"May 15, 2006",2006-05-15,UCSD Guardian,43,13,18158
http://library.ucsd.edu/ark:/20775/bb1059125q,1989-10-05,"October 5, 1989",1989-10-05,UCSD Guardian,50,10,19321
http://library.ucsd.edu/ark:/20775/bb38236513,1973-04-27,"April 27, 1973",1973-04-27,Triton Times,62,11,19462
http://library.ucsd.edu/ark:/20775/bb61786214,1999-05-10,"May 10, 1999",1999-05-10,UCSD Guardian,28,12,22679
http://library.ucsd.edu/ark:/20775/bb7577952q,1987-02-19,"February 19, 1987",1987-02-19,UCSD Guardian,54,9,20825
http://library.ucsd.edu/ark:/20775/bb81240284,1996-11-18,"November 18, 1996",1996-11-18,UCSD Guardian,52,8,25486
http://library.ucsd.edu/ark:/20775/bb7202515s,2000-02-07,"February 7, 2000",2000-02-07,UCSD Guardian,37,8,18025
http://library.ucsd.edu/ark:/20775/bb89431500,1978-10-02,"October 2, 1978",1978-10-02,Guardian,33,10,12389
http://library.ucsd.edu/ark:/20775/bb7612205q,2008-11-13,"November 13, 2008",2008-11-13,UCSD Guardian,34,12,16183
http://library.ucsd.edu/ark:/20775/bb8533588m,1981-10-19,"October 19, 1981",1981-10-19,UCSD Guardian,130,23,23464
http://library.ucsd.edu/ark:/20775/bb6179106x,2013-11-07,"November 12, 2013",2013-11-07,UCSD Guardian,24,1,12855
http://library.ucsd.edu/ark:/20775/bb5154721v,1992-04-09,"April 9, 1992",1992-04-09,UCSD Guardian,66,9,21473
http://library.ucsd.edu/ark:/20775/bb58373230,1976-12-07,"December 7, 1976",1976-12-07,Triton Times,53,10,20584
http://library.ucsd.edu/ark:/20775/bb7646210d,1992-02-20,"February 20, 1992",1992-02-20,UCSD Guardian,42,23,20857
http://library.ucsd.edu/ark:/20775/bb0649557c,1980-01-28,"January 28, 1980",1980-01-28,Daily Guardian,22,9,11462
http://library.ucsd.edu/ark:/20775/bb74756877,2011-11-28,"November 28, 2011",2011-11-28,UCSD Guardian,22,3,10550
http://library.ucsd.edu/ark:/20775/bb97281383,1989-03-02,"March 2, 1989",1989-03-02,UCSD Guardian,72,17,23026
http://library.ucsd.edu/ark:/20775/bb0376682j,2012-02-23,"February 23, 2012",2012-02-23,UCSD Guardian,19,4,12044
http://library.ucsd.edu/ark:/20775/bb07519494,2005-03-07,"March 7, 2005",2005-03-07,UCSD Guardian,25,14,19557
http://library.ucsd.edu/ark:/20775/bb2799750h,1980-01-23,"January 23, 1980",1980-01-23,Daily Guardian,45,6,12734
http://library.ucsd.edu/ark:/20775/bb1093255n,2004-02-23,"February 23, 2004",2004-02-23,UCSD Guardian,21,19,20410
http://library.ucsd.edu/ark:/20775/bb27998761,2008-10-02,"October 2, 2008",2008-10-02,UCSD Guardian,31,8,15852
