Object Unique ID,Begin date,Date:creation,End date,Title,he_counts,she_counts,word_counts
http://library.ucsd.edu/ark:/20775/bb6861199j,1984-05-29,"May 29-June 11, 1984",1984-06-11,The New Indicator,44,7,20786
http://library.ucsd.edu/ark:/20775/bb1161489f,1987-10-27,"October 27-November 9, 1987",1987-11-09,The New Indicator,30,6,12842
http://library.ucsd.edu/ark:/20775/bb4199055h,1977-03-06,"March 6-20, 1977",1977-03-20,The New Indicator,11,0,9221
http://library.ucsd.edu/ark:/20775/bb8772478g,1970-11-18,"November 18, 1970",1970-11-18,Third World,49,3,9079
http://library.ucsd.edu/ark:/20775/bb7987491n,1982-02-02,"February 2-15, 1982",1982-02-15,The New Indicator,27,26,15205
http://library.ucsd.edu/ark:/20775/bb2390167t,1979-10-23,"October 23-November 5, 1979",1979-11-05,The New Indicator,26,6,13345
http://library.ucsd.edu/ark:/20775/bb8328791c,1981-04-28,"April 28-May 11, 1981",1981-05-11,The New Indicator,20,0,12848
http://library.ucsd.edu/ark:/20775/bb1161488x,1976-10-25,"October 25, 1976",1976-10-25,The New Indicator,4,0,3554
http://library.ucsd.edu/ark:/20775/bb5700778d,1987-06-15,June 15-September 1987,1987-09-30,The New Indicator,28,45,22614
http://library.ucsd.edu/ark:/20775/bb59055568,1965-04-28,"April 28, 1965",1965-04-28,Sandscript,9,0,3913
http://library.ucsd.edu/ark:/20775/bb1878219v,1978-03-21,"March 21-April 3, 1978",1978-04-03,The New Indicator,12,1,6783
http://library.ucsd.edu/ark:/20775/bb0990840t,1984-03-20,"March 20-April 3, 1984",1984-04-03,The New Indicator,16,11,10166
http://library.ucsd.edu/ark:/20775/bb42331871,1981-11-17,"November 17-December 1, 1981",1981-12-01,The New Indicator,21,13,8001
http://library.ucsd.edu/ark:/20775/bb8704217b,1968-09-25,"September 25, 1968",1968-09-25,The Indicator,24,2,12200
http://library.ucsd.edu/ark:/20775/bb38236288,1991-06-01,June 1991,1991-06-30,California Review,21,4,13298
http://library.ucsd.edu/ark:/20775/bb3311681m,1978-04-18,"April 18-May 2, 1978",1978-05-02,The New Indicator,36,0,6931
http://library.ucsd.edu/ark:/20775/bb4540357n,1979-03-20,"March 20-April 2, 1979",1979-04-02,The New Indicator,37,9,14964
http://library.ucsd.edu/ark:/20775/bb8328790v,1968-04-10,"April 10, 1968",1968-04-10,The Indicator,64,1,13304
http://library.ucsd.edu/ark:/20775/bb6212739s,1985-11-01,November-December 1985,1985-12-31,California Review,37,13,21531
http://library.ucsd.edu/ark:/20775/bb8772477z,1965-02-10,"February 10, 1965",1965-02-10,Sandscript,24,3,12865
http://library.ucsd.edu/ark:/20775/bb41990561,1977-11-22,"November 22-December 5, 1977",1977-12-05,The New Indicator,27,7,7014
http://library.ucsd.edu/ark:/20775/bb79874925,1978-02-21,"February 21-March 6, 1978",1978-03-06,The New Indicator,9,0,6980
http://library.ucsd.edu/ark:/20775/bb6792937d,1991-01-02,"January 2, 1991",1991-01-02,The New Indicator,2,1,1793
http://library.ucsd.edu/ark:/20775/bb5188828q,1987-04-13,"April 13-May 5, 1987",1987-05-05,The New Indicator,25,11,17365
http://library.ucsd.edu/ark:/20775/bb85335700,1982-12-01,Winter 1982,1982-02-28,Revellations,9,10,3303
http://library.ucsd.edu/ark:/20775/bb5427740f,1986-10-07,"October 7-20, 1986",1986-10-20,The New Indicator,9,2,17306
http://library.ucsd.edu/ark:/20775/bb5871431x,1965-03-19,"March 19, 1965",1965-03-19,Sandscript,7,3,5590
http://library.ucsd.edu/ark:/20775/bb6622290j,1965-03-03,"March 3, 1965",1965-03-03,Sandscript,8,2,7367
http://library.ucsd.edu/ark:/20775/bb33116803,1987-09-01,Fall 1987,1987-11-30,People's Voice,22,2,7161
http://library.ucsd.edu/ark:/20775/bb1366268t,1989-02-06,"February 6-20, 1989",1989-02-20,The New Indicator,12,3,6906
http://library.ucsd.edu/ark:/20775/bb96257297,1987-03-13,"March 13, 1987",1987-03-13,Revellations,11,13,5726
http://library.ucsd.edu/ark:/20775/bb2936249m,1991-03-01,March 1991,1991-03-31,Revellations,24,4,6301
http://library.ucsd.edu/ark:/20775/bb4199057j,1983-10-01,October 1983,1983-10-31,California Review,87,8,22961
http://library.ucsd.edu/ark:/20775/bb81922699,1981-02-03,"February 3-16, 1981",1981-02-16,The New Indicator,31,8,16707
http://library.ucsd.edu/ark:/20775/bb48134006,1992-06-01,June 1992,1992-06-30,Momentum,26,2,13607
http://library.ucsd.edu/ark:/20775/bb69977179,1982-11-02,"November 2-18, 1982",1982-11-18,The New Indicator,19,5,21429
http://library.ucsd.edu/ark:/20775/bb5359479t,1983-12-01,Winter 1983,1983-02-28,Revellations,4,4,3313
http://library.ucsd.edu/ark:/20775/bb18440881,1976-05-11,"May 11-17, 1976",1976-05-17,The New Indicator,76,13,13957
http://library.ucsd.edu/ark:/20775/bb7953357k,1981-09-22,"September 22-October 5, 1981",1981-10-05,The New Indicator,72,2,20257
http://library.ucsd.edu/ark:/20775/bb1878217t,1987-10-13,"October 13-26, 1987",1987-10-26,The New Indicator,34,23,13497
http://library.ucsd.edu/ark:/20775/bb6007946m,1976-06-01,Summer 1976,1976-08-31,The New Indicator,2,0,2646
http://library.ucsd.edu/ark:/20775/bb6690548f,1992-02-01,February-March 1992,1992-03-31,Momentum,32,1,9832
http://library.ucsd.edu/ark:/20775/bb36188510,1985-01-08,"January 8-January 21, 1985",1985-01-21,The New Indicator,25,9,10172
http://library.ucsd.edu/ark:/20775/bb8124009p,1980-09-01,Fall 1980,1980-11-30,Revellations,2,1,5101
http://library.ucsd.edu/ark:/20775/bb30045103,1991-06-01,"June/July, 1991",1991-07-31,The New Indicator,23,3,12547
http://library.ucsd.edu/ark:/20775/bb9113779q,1983-02-15,"February 15-28, 1983",1983-02-28,The New Indicator,33,0,21471
http://library.ucsd.edu/ark:/20775/bb5700776c,1982-03-03,"March 3-16, 1982",1982-03-16,The New Indicator,20,1,19563
